id,title_x,cast_col,director,keywords,genres
0,Avatar,['Sam Worthington'],James Cameron,['culture clash'],['Action']
1,Pirates of the Caribbean: At World's End,['Johnny Depp'],Gore Verbinski,['ocean'],['Adventure']
2,Spectre,['Daniel Craig'],Sam Mendes,['spy'],['Action']
3,The Dark Knight Rises,['Christian Bale'],Christopher Nolan,['dc comics'],['Action']
4,John Carter,['Taylor Kitsch'],Andrew Stanton,['based on novel'],['Action']
5,Spider-Man 3,['Tobey Maguire'],Sam Raimi,['dual identity'],['Fantasy']
6,Tangled,['Zachary Levi'],Byron Howard,['hostage'],['Animation']
7,Avengers: Age of Ultron,['Robert Downey Jr.'],Joss Whedon,['marvel comic'],['Action']
8,Harry Potter and the Half-Blood Prince,['Daniel Radcliffe'],David Yates,['witch'],['Adventure']
9,Batman v Superman: Dawn of Justice,['Ben Affleck'],Zack Snyder,['dc comics'],['Action']
10,Superman Returns,['Brandon Routh'],Bryan Singer,['saving the world'],['Adventure']
11,Quantum of Solace,['Daniel Craig'],Marc Forster,['killing'],['Adventure']
12,Pirates of the Caribbean: Dead Man's Chest,['Johnny Depp'],Gore Verbinski,['witch'],['Adventure']
13,The Lone Ranger,['Johnny Depp'],Gore Verbinski,['texas'],['Action']
14,Man of Steel,['Henry Cavill'],Zack Snyder,['saving the world'],['Action']
15,The Chronicles of Narnia: Prince Caspian,['Ben Barnes'],Andrew Adamson,['based on novel'],['Adventure']
16,The Avengers,['Robert Downey Jr.'],Joss Whedon,['new york'],['Science Fiction']
17,Pirates of the Caribbean: On Stranger Tides,['Johnny Depp'],Rob Marshall,['sea'],['Adventure']
18,Men in Black 3,['Will Smith'],Barry Sonnenfeld,['time travel'],['Action']
19,The Hobbit: The Battle of the Five Armies,['Martin Freeman'],Peter Jackson,['corruption'],['Action']
